[ [-1.200,  2.000] , [36.200000], 36.200]
[ [-0.634,  0.387] , [2.692828], 2.693]
[ [-0.459,  0.125] , [2.861332], 2.861]
[ [-0.535,  0.256] , [2.452230], 2.452]
[ [-0.359, -0.006] , [3.671846], 3.672]
[ [-0.540,  0.267] , [2.432261], 2.432]
[ [-0.502,  0.239] , [2.272401], 2.272]
[ [-0.371,  0.129] , [1.888092], 1.888]
[ [-0.109, -0.133] , [3.333074], 3.333]
[ [-0.271,  0.054] , [1.652355], 1.652]
[ [-0.071, -0.110] , [2.469609], 2.470]
[ [-0.171,  0.086] , [1.689863], 1.690]
[ [-0.221,  0.067] , [1.524835], 1.525]
[ [-0.269,  0.167] , [2.510198], 2.510]
[ [-0.259,  0.086] , [1.622336], 1.622]
[ [-0.196,  0.042] , [1.432441], 1.432]
[ [-0.146,  0.017] , [1.315859], 1.316]
[ [-0.046, -0.038] , [1.260190], 1.260]
[ [ 0.134, -0.238] , [7.317549], 7.318]
[ [ 0.053, -0.018] , [0.937829], 0.938]
[ [ 0.253, -0.058] , [2.050071], 2.050]
[ [-0.029,  0.053] , [1.329883], 1.330]
[ [ 0.045, -0.005] , [0.917425], 0.917]
[ [ 0.042, -0.004] , [0.920787], 0.921]
[ [0.070, 0.002] , [0.865554], 0.866]
[ [0.120, 0.003] , [0.788007], 0.788]
[ [0.220, 0.004] , [0.804032], 0.804]
[ [0.170, 0.011] , [0.721764], 0.722]
[ [0.270, 0.067] , [0.536634], 0.537]
[ [0.470, 0.114] , [1.411307], 1.411]
[ [0.170, 0.059] , [0.780723], 0.781]
[ [0.320, 0.082] , [0.502921], 0.503]
[ [0.394, 0.123] , [0.468676], 0.469]
[ [0.397, 0.125] , [0.468558], 0.469]
[ [0.396, 0.126] , [0.463619], 0.464]
[ [0.545, 0.256] , [0.373746], 0.374]
[ [0.525, 0.228] , [0.453633], 0.454]
[ [0.453, 0.262] , [0.627282], 0.627]
[ [0.562, 0.304] , [0.206540], 0.207]
[ [0.554, 0.308] , [0.198869], 0.199]
[ [0.649, 0.403] , [0.154836], 0.155]
[ [0.664, 0.425] , [0.135909], 0.136]
[ [0.474, 0.615] , [15.524290], 15.524]
[ [0.753, 0.520] , [0.275118], 0.275]
[ [0.675, 0.461] , [0.108401], 0.108]
[ [0.680, 0.461] , [0.102581], 0.103]
[ [0.703, 0.491] , [0.089149], 0.089]
[ [0.756, 0.562] , [0.068689], 0.069]
[ [0.808, 0.633] , [0.074188], 0.074]
[ [0.743, 0.554] , [0.066564], 0.067]
[ [0.762, 0.573] , [0.061491], 0.061]
[ [0.770, 0.588] , [0.055182], 0.055]
[ [0.808, 0.659] , [0.040035], 0.040]
[ [0.912, 0.802] , [0.097507], 0.098]
[ [0.814, 0.663] , [0.034532], 0.035]
[ [0.832, 0.691] , [0.028406], 0.028]
[ [0.879, 0.762] , [0.023737], 0.024]
[ [0.876, 0.761] , [0.019936], 0.020]
[ [0.869, 0.753] , [0.017669], 0.018]
[ [0.869, 0.753] , [0.017659], 0.018]
[ [0.871, 0.756] , [0.017366], 0.017]
[ [0.894, 0.792] , [0.017472], 0.017]
[ [1.014, 0.614] , [17.185653], 17.186]
[ [1.014, 0.614] , [17.185653], 17.186]
[ [0.886, 0.779] , [0.016507], 0.017]
[ [0.743, 0.922] , [13.704626], 13.705]
[ [0.921, 0.850] , [0.007115], 0.007]
[ [0.964, 0.925] , [0.004164], 0.004]
[ [0.957, 0.913] , [0.003526], 0.004]
[ [0.950, 0.902] , [0.002527], 0.003]
[ [0.950, 0.902] , [0.002531], 0.003]
[ [0.955, 0.912] , [0.002007], 0.002]
[ [0.960, 0.922] , [0.001592], 0.002]
[ [0.977, 0.955] , [0.000561], 0.001]
[ [0.996, 0.993] , [0.000022], 0.000]
[ [1.001, 1.002] , [0.000001], 0.000]
[ [1.024, 1.040] , [0.009145], 0.009]
[ [0.997, 0.994] , [0.000044], 0.000]
[ [0.992, 1.011] , [0.079748], 0.080]
[ [0.992, 1.011] , [0.079748], 0.080]
[ [0.992, 1.011] , [0.079748], 0.080]
[ [1.001, 1.002] , [0.000002], 0.000]
[ [0.999, 0.998] , [0.000001], 0.000]
[ [1.002, 1.001] , [0.000318], 0.000]
[ [1.001, 1.002] , [0.000009], 0.000]
[ [1.001, 1.002] , [0.000001], 0.000]
